RK,NAME,TEAM,POS,GMS,PASSING_YDS,PASSING_TD,INT,RUSHING_YDS,RUSHING_TD,RECEPTIONS,REC_YDS,REC_TD,FUM LST,PPG,FPTS
206,Phillip Dorsett Q,NE,WR,16,0,0,0,29,0,32,290,3,0,5.1,81.9
208,Ian Thomas,CAR,TE,16,0,0,0,0,0,36,333,2,0,5.1,81.3
209,Corey Clement P,PHI,RB,11,0,0,0,259,2,22,192,0,0,7.4,81.1
210,Greg Olsen,CAR,TE,9,0,0,0,0,0,27,291,4,0,8.9,80.1
210,Jermaine Kearse O,NYJ,WR,14,0,0,0,0,0,37,371,1,0,5.7,80.1
212,Marshawn Lynch,OAK,RB,6,0,0,0,376,3,15,84,0,0,13.2,79
212,Spencer Ware PUP,KC,RB,13,0,0,0,246,2,20,224,0,0,6.1,79
214,Chris Ivory,BUF,RB,13,0,0,0,385,1,13,205,0,0,6,78
215,Nick Foles,PHI,QB,5,1413,7,4,17,0,1,15,0,2,15.3,76.72
216,Dontrelle Inman,IND,WR,9,0,0,0,0,0,28,304,3,0,8.5,76.4
217,Vernon Davis,WAS,TE,14,0,0,0,0,0,25,367,2,0,5.4,75.7
217,Blake Jarwin,DAL,TE,16,0,0,0,0,0,27,307,3,0,4.7,75.7
219,Antonio Gates,LAC,TE,16,0,0,0,0,0,28,333,2,1,4.7,75.3
220,CJ Beathard,SF,QB,6,1252,8,7,69,1,0,0,0,3,12.5,74.98
221,Demarcus Robinson,KC,WR,16,0,0,0,0,0,22,288,4,0,4.7,74.8
222,Ryan Grant,IND,WR,14,0,0,0,0,0,35,334,1,0,5.3,74.4
223,Ricky Seals-Jones,ARI,TE,15,0,0,0,0,0,34,343,1,0,5,74.3
224,Nick Vannett,SEA,TE,15,0,0,0,0,0,29,269,3,0,4.9,73.9
225,Ty Montgomery,BAL,RB,13,0,0,0,188,1,25,235,0,1,5.5,71.3
226,Tajae Sharpe,TEN,WR,16,0,0,0,16,0,26,316,2,0,4.4,71.2
226,Laquon Treadwell,MIN,WR,15,0,0,0,0,0,35,302,1,0,4.7,71.2
228,Jeff Heuerman,DEN,TE,11,0,0,0,0,0,31,281,2,0,6.5,71.1
229,Rashaad Penny,SEA,RB,14,0,0,0,419,2,9,75,0,0,5,70.4
230,Aldrick Robinson,MIN,WR,14,0,0,0,0,0,17,231,5,0,5,70.1
231,Ryan Switzer,PIT,WR,16,0,0,0,21,0,36,253,1,0,4.3,69.4
232,Kelvin Benjamin,KC,WR,15,0,0,0,0,0,25,380,1,0,4.6,69
233,Alfred Morris,SF,RB,12,0,0,0,428,2,8,73,0,1,5.7,68.1
234,Brock Osweiler,MIA,QB,7,1247,6,4,21,0,0,0,0,1,9.7,67.98
235,CJ Anderson,LAR,RB,11,0,0,0,403,2,5,41,1,0,6.1,67.4
235,Kyle Juszczyk,SF,FB,16,0,0,0,30,0,30,324,1,2,4.2,67.4
237,Zach Pascal,IND,WR,16,0,0,0,10,0,27,268,2,0,4.2,66.8
238,Daesean Hamilton Q,DEN,WR,14,0,0,0,0,0,30,243,2,0,4.7,66.3
